Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.27     0.00   456276     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      1.27     0.00   456276     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.27     0.00   456276     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      1.27     0.00   456276     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      1.27     0.00   456276     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      1.27     0.00   456264     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++()
  0.00      1.27     0.00   456264     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.00      1.27     0.00   456264     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.27     0.00   456264     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int const, int>(int const*, int const*, int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.27     0.00   456264     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      1.27     0.00   456264     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.27     0.00   456264     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      1.27     0.00   456252     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      1.27     0.00   432562     0.00     0.00  __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >::base() const
  0.00      1.27     0.00   414834     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_end()
  0.00      1.27     0.00   413024     0.00     0.00  std::_Identity<std::pair<float, Operation> >::operator()(std::pair<float, Operation>&) const
  0.00      1.27     0.00   403707     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.27     0.00   372008     0.00     0.00  Operation const& std::forward<Operation const&>(std::remove_reference<Operation const&>::type&)
  0.00      1.27     0.00   362000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<float, Operation> >::_M_ptr()
  0.00      1.27     0.00   362000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<float, Operation> >::_M_addr()
  0.00      1.27     0.00   362000     0.00     0.00  std::_Rb_tree_node<std::pair<float, Operation> >::_M_valptr()
  0.00      1.27     0.00   310800     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_get_Tp_allocator()
  0.00      1.27     0.00   270044     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      1.27     0.00   270044     0.00     0.00  std::function<float (std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)>::operator()(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) const
  0.00      1.27     0.00   270044     0.00     0.00  std::_Any_data::_M_access() const
  0.00      1.27     0.00   270044     0.00     0.00  main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1} const& std::_Any_data::_M_access<main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}>() const
  0.00      1.27     0.00   270044     0.00     0.00  std::_Function_base::_Base_manager<main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}>::_M_get_pointer(std::_Any_data const&)
  0.00      1.27     0.00   270044     0.00     0.00  std::_Function_handler<float (std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&), main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}>::_M_invoke(std::_Any_data const&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  0.00      1.27     0.00   270044     0.00     0.00  std::enable_if<is_invocable_r_v<float, main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&>, float>::type std::__invoke_r<float, main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&>(main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  0.00      1.27     0.00   270044     0.00     0.00  main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1} const* std::__addressof<main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1} const>(main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1} const&)
  0.00      1.27     0.00   270044     0.00     0.00  float std::__invoke_impl<float, main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&>(std::__invoke_other, main::{lambda(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)#1}&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
